========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Yaniella † - Number 125. Time: 2023-11-10 11:18:40.244188. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00125/abstract 
Got Zhihengliuella † - Number 126. Time: 2023-11-10 11:18:41.672297. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00126/abstract 
Got Cellulosimicrobium † - Number 127. Time: 2023-11-10 11:18:42.943728. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00127/abstract 
Got Isoptericola † - Number 128. Time: 2023-11-10 11:18:44.196124. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00128/abstract 
Got Myceligenerans † - Number 129. Time: 2023-11-10 11:18:45.435198. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00129/abstract 
Got Promicromonospora † - Number 130. Time: 2023-11-10 11:18:47.234272. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00130/abstract 
Got Xylanibacterium † - Number 131. Time: 2023-11-10 11:18:48.304763. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00131/abstract 
Got Xylanimicrobium † - Number 132. Time: 2023-11-10 11:18:49.477524. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00132/abstract 
Got Xylanimonas † - Number 133. Time: 2023-11-10 11:18:51.183589. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00133/abstract 
Got Rarobacter † - Number 134. Time: 2023-11-10 11:18:52.354428. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00134/abstract 
Got Haloactinobacterium † - Number 135. Time: 2023-11-10 11:18:53.75283. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00135/abstract 
Got Ruania † - Number 136. Time: 2023-11-10 11:18:55.426637. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00136/abstract 
Got Sanguibacter † - Number 137. Time: 2023-11-10 11:18:56.907279. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00137/abstract 
Got Actinocatenispora † - Number 138. Time: 2023-11-10 11:18:58.202408. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00138/abstract 
Got Actinoplanes † - Number 139. Time: 2023-11-10 11:18:59.86814. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00139/abstract 
